Long,Lat,ROI,n_sale,n_rent,sale_price_per_meter,rent_price_per_meter,geography
23.66501,37.981552,7.0,3,3,1200,7,3rd Cemetery of Athens (Nikaia)
22.965866,40.630936,4.5,126,151,2137,8,40 Ekklisies (40 Ekklisies - Evaggelistria)
22.965965,40.630508,3.3,5,4,3066,9,40 Ekklisies - Evaggelistria (Thessaloniki - Municipality)
23.7351075,37.9619025,4.4,132,17,3552,13,A Nekrotafeio (Athens - Center)
23.734634,37.963009,0,3,0,2787,0,A Nekrotfeio (Athens - Center)
23.7847445,38.046633,4.6,24,8,1840,7,A.S.PAI.T.E. (Marousi)
22.4335345,39.642916,6.2,10,5,1364,7,A.T.A. (Larisa)
23.530878,37.9389,2.5,19,3,1468,3,Abelakia (Argosaronikos islands)
21.758728,38.267849,5.2,21,56,1853,8,Abelokipi (Patra)
22.9256565,40.660748,3.6,10,1,1666,5,Abelones (Stavroupoli)
24.0342405,35.512028,3.6,8,4,2823,9,Aberia (Chania)
22.915554,40.680225,4.8,271,2,1856,8,Above the Ring Road (Evosmos)
21.5964525,38.124811,5.6,2,2,1498,7,Achaiko (Olenia)
23.73946,38.085342,5.6,171,9,1500,7,Acharnes (Athens - West)
19.896244,39.567856,4.9,117,38,1966,8,Achilleio (Corfu)
22.962618,39.004482,3.8,16,3,949,3,Achilleio (Pteleos)
23.655243,40.921303,0,1,0,375,0,Achinos (Serres Prefecture)
25.016504,35.39502,0,9,0,2649,0,Achlada (Gazi)
22.968752,38.740927,0,2,0,1017,0,Achlades (Dafnouses)
24.721254,35.392342,0,1,0,212,0,Achlades (Geropotamos)
23.400894,38.89962,0,1,0,200,0,Achladi (Nilea)
22.077497,38.203789,0,1,0,593,0,Achladia (Aigio)
23.4654505,39.152523,0,2,0,3198,0,Achladias (Skiathos)
23.265995,37.405701,0,27,0,1832,0,Achladitsa (Ermioni)
21.90309,36.927906,18.9,3,3,1400,22,Achladochori (Petalidi)
22.58128,37.522823,0,3,0,625,0,Achladokampos (Argolis)
25.888403,35.026726,3.7,9,1,3204,10,Achlia (Makris Gialos)
23.302959,40.5547215,0,2,0,850,0,Adam (Kallindoia)
24.445915,36.728062,0,1,0,2487,0,Adamantas (Milos)
23.78965,38.096298,6.0,67,12,2395,12,Adames Oikismos Grammos - Foinikas (Kifissia)
23.800069,38.1003725,2.8,100,9,2994,7,Adames Oikismos Peloponnision (Kifissia)
23.0748835,37.582228,0,4,0,603,0,Adami (Asklipieio)
24.559786,35.357414,4.5,15,3,2142,8,Adele (Arkadi)
23.46212,41.015713,0,1,0,220,0,Adelfiko (Skoutari)
24.554874,35.371748,3.0,6,7,4458,11,Adelianos Kabos (Arkadi)
22.606256,40.669205,0,1,0,988,0,Adendro (Chalkidona)
21.8735255,36.873226,0,2,0,1602,0,Adriani (Epia)
25.368956,41.010799,0,1,0,500,0,Adriani (Neo Sidirochori)
24.2540315,41.1409265,0,4,0,546,0,Adriani (Nikiforos)
23.450285,37.748293,6.1,110,12,2560,13,Aegina (Argosaronikos islands)
25.9989195,40.897951,0,2,0,1047,0,Aetochori (Traianoupoli)
21.839447,37.085445,0,1,0,1453,0,Aetofolia (Aristomenis)
25.167803,37.576992,0,1,0,596,0,Aetofolia (Tinos)
22.724693,39.686913,0,1,0,256,0,Aetolofos (Agia)
21.835327,37.249462,0,1,0,5500,0,Aetos (Aetou)
20.6803035,38.359787,0,2,0,3954,0,Aetos (Ithaki)
24.443489,38.0107975,4.6,12,2,2844,11,Aetos (Karistos)
21.818202,37.2886125,0,6,0,1028,0,Aetou (Messinia)
23.61445,38.013618,0,3,0,3800,0,Afaia (Chaidari)
26.515423,39.1466635,7.2,2,2,833,5,Afalonas (Lesvos - Mitilini)
28.160002,36.291561,6.8,39,4,1500,9,Afantou (Rhodes)
23.1819,39.28339,0,3,0,1046,0,Afetes (Magnesia)
23.8184055,38.20229,5.4,66,4,1666,8,Afidnes (Rest of Attica)
22.44579,37.0886975,0,2,0,635,0,Afisio (Sparti)
23.16543,39.272648,0,13,0,2083,0,Afissos (Afetes)
23.435995,40.098366,16.5,98,6,3120,43,Afitos (Kassandra)
23.766221,35.571323,0,2,0,609,0,Afrata (Kolimvari)
23.6872435,38.4518315,3.0,6,1,1203,3,Afrati (Lilantio)
22.9275515,39.3670275,7.9,28,12,913,6,Ag. Anargiroi (Volos)
22.4066015,39.63657,8.4,8,12,1435,10,Ag. Athanasios (Larisa)
22.438141,39.631756,5.4,7,1,897,4,Ag. Georgios (Larisa)
22.9677235,39.377903,8.0,14,5,898,6,Ag. Georgios (Volos)
23.608412,38.462124,5.8,7,3,1250,6,Ag. Ioannis (Chalkida)
24.400824,40.9376065,6.1,42,42,1280,7,Ag. Ioannis (Kavala)
22.4265765,39.6380805,7.8,16,59,1228,8,Ag. Konstantinos (Larisa)
22.957821,39.358612,5.3,89,97,1575,7,Ag. Konstantinos (Volos)
23.594954,38.455452,0,5,0,2000,0,Ag. Marina (Chalkida)
23.7294035,37.99358,6.5,772,186,1659,9,Ag. Meletiou - Viktorias Sq. - Marni (Athens - Center)
22.415749,39.633877,7.9,17,42,1220,8,Ag. Nikolaos (Larisa)
22.952124,39.360168,7.9,15,71,1367,9,Ag. Nikolaos (Volos)
24.4070845,40.940439,4.9,10,10,1851,8,Ag. Pavlos (Kavala)
22.425748,39.642399,6.7,8,5,1604,9,Ag. Saranta (Larisa)
20.845661,39.668499,7.9,3,8,1293,9,Ag. Triada (Ioannina)
22.1019255,37.043388,0,4,0,1374,0,Ag. Triada (Kalamata)
22.953123,39.36982,12.3,17,24,977,10,Ag. Vasileios (Volos)
20.780547,37.705515,0,4,0,2590,0,Agalas (Laganas)
24.537781,35.218807,0,1,0,800,0,Agalianos (Lampi)
23.246769,37.393517,0,3,0,3242,0,Aganoteika (Ermioni)
25.16482,37.60754,0,3,0,704,0,Agapi (Tinos)
24.505005,38.12323,0,1,0,615,0,Agatho (Marmari)
26.968031,37.458496,0,1,0,1681,0,Agathonisi (Dodecanese)
22.780817,40.7146835,0,6,0,1013,0,Agchialos (Agios Athanasios)
24.6791095,35.381506,4.7,8,1,1529,6,Aggeliana (Geropotamos)
22.201603,40.677906,0,3,0,341,0,Aggelochori (Eirinoupoli)
22.834141,40.497169,4.2,33,5,1134,4,Aggelochori (Michaniona)
24.765645,35.36986,0,2,0,1855,0,Agia (Kouloukonas)
22.758862,39.720688,0,1,0,1666,0,Agia (Larissa Prefecture)
20.359182,39.313725,2.9,1,1,2933,7,Agia (Parga)
23.932747,35.472204,0,10,0,2346,0,Agia (Therisos)
22.948116,38.74585,0,3,0,1402,0,Agia Aikaterini (Dafnouses)
25.147451,35.329784,2.0,5,3,2960,5,Agia Aikaterini (Heraclion Cretes)
22.7554105,38.7899075,0,4,0,1206,0,Agia Aikaterini (Kamena Vourla)
23.163272,40.478048,0,12,0,888,0,Agia Anastasia (Anthemountas)
22.750006,37.39996,0,5,0,2129,0,Agia Anastasia (North Kinouria)
23.7320765,38.0638005,0,22,0,1690,0,Agia Anna (Acharnes)
23.68235,37.9723875,0,4,0,1279,0,Agia Anna (Agios Ioannis Rentis)
22.1005,38.246868,5.0,11,2,714,3,Agia Anna (Aigio)
23.791045,38.018629,3.5,40,18,3448,10,Agia Anna (Chalandri)
22.507168,40.282539,8.1,3,2,666,5,Agia Anna (Katerini)
22.94022,37.932095,4.7,5,3,2022,8,Agia Anna (Korinthos)
25.359169,37.06852,0,11,0,5040,0,Agia Anna (Naxos)
23.427307,38.86203,4.8,17,3,1500,6,Agia Anna (Nilea)
22.359667,38.479855,0,1,0,500,0,Agia Efthimia (Amfissa)
25.16585,35.281059,1.3,1,1,6296,7,Agia Eirini (Heraclion Cretes)
23.7877945,38.072693,4.5,24,2,3062,12,Agia Eirini Lykovrysis (Lykovrisi)
23.558592,41.0043565,0,2,0,505,0,Agia Eleni (Skoutari)
23.698145,37.956707,0,6,0,2844,0,Agia Eleousa (Kalithea)
23.696437,37.9551315,4.8,150,38,2358,10,Agia Eleousa (Kallithea)
22.0096675,40.7331255,0,2,0,553,0,Agia Foteini (Edessa)
