Long,Lat,price_per_meter,rooms
23.733831,37.989944,15,1
23.907709,37.749222,10,2
23.744009,37.974277,39,5
23.76317,37.866421,9,2
22.952772,40.601246,8,2
22.357195,38.148567,6,2
23.734949,37.988899,9,2
23.731976,38.013142,9,1
23.888533,38.39333,12,2
23.747936,37.879597,13,3
23.835716,38.083096,8,4
22.983189,40.603146,9,1
22.990244,40.602322,19,1
22.953144,40.603973,6,2
22.994436,40.601337,9,1
22.073849,38.041916,5,1
22.980944,40.598305,6,3
23.940744,38.032234,7,3
23.746799,37.967838,17,1
23.970034,37.691677,8,3
23.823,38.084957,12,3
23.815241,38.091751,13,3
24.02364,35.516579,15,2
23.740641,37.977154,26,3
23.013885,40.606007,12,4
23.698484,37.955891,7,1
23.690687,38.047482,12,2
22.430031,38.904839,4,2
23.694559,37.924591,7,4
23.763117,37.842113,19,1
20.853794,39.663799,12,1
22.93445,40.641602,9,1
23.786362,38.007092,9,3
23.777298,37.854443,10,2
22.801554,37.567318,10,2
23.89699,38.035313,6,4
24.405441,38.043091,4,2
25.40954,41.113274,7,1
22.855276,37.521488,12,1
22.856812,37.520672,12,1
23.81892,38.069241,12,1
22.892799,37.532368,10,3
23.773661,38.01992,17,3
20.869856,39.639725,9,1
22.747343,38.007965,6,2
24.211594,35.451443,15,3
23.646753,37.947025,21,1
22.951092,40.637859,14,1
22.161926,38.093773,8,0
23.911394,37.750935,4,5
23.773794,37.842304,22,1
23.755297,37.983768,13,2
23.744352,37.882568,30,3
22.953093,40.636242,8,1
23.068542,40.749401,4,2
23.820045,38.070999,10,5
23.975798,38.071228,8,5
23.87536,38.106579,7,4
22.96928,40.599178,5,3
23.698271,37.923763,10,2
23.781174,37.971977,7,2
25.376873,37.441883,41,4
20.860029,39.63868,5,2
24.405657,40.938755,10,1
24.416924,40.937977,8,1
25.16287,37.083599,57,2
23.69632,37.922932,24,1
23.696104,37.923103,20,1
23.921688,37.721737,10,5
23.923412,37.743843,11,3
23.914858,37.75219,10,5
21.801161,38.312099,6,2
23.772182,37.845154,18,1
23.87755,38.09671,5,3
21.604099,38.142254,3,6
22.763411,37.415901,6,2
23.742764,37.978245,36,2
23.744738,37.977474,27,1
23.539366,37.928722,9,3
23.764242,37.866657,20,2
23.873785,37.796017,8,7
21.756371,38.23658,8,1
21.751431,38.214458,10,1
23.63962,37.93124,10,2
23.75182,37.88887,16,1
23.88302,38.09391,7,4
23.73443,38.018139,6,0
23.755919,38.030922,2100,0
23.706528,37.954948,8,2
23.730644,37.905769,8,3
22.945869,40.634338,21,1
26.520309,39.133266,4,3
23.772581,37.829803,20,2
23.73818,37.981468,29,1
23.801649,38.057869,8,3
22.957886,40.609631,11,1
23.531712,40.017231,108,1
22.955301,40.612873,7,3
23.649401,37.940319,12,1
24.424599,40.941772,7,1
24.406693,40.936413,7,2
24.383547,40.930561,7,1
23.73999,37.979919,32,1
23.75795,37.86805,32,1
23.722984,37.927982,25,2
23.720469,37.903442,15,2
23.783092,37.810608,15,1
23.737968,37.981171,29,1
23.735241,37.990952,9,1
23.728264,37.990116,12,2
23.727261,37.99041,12,2
23.822975,38.070641,12,5
23.80765,38.0695,11,2
23.72303,37.928009,32,1
24.349588,40.904663,6,2
24.314814,40.866398,5,2
24.424599,40.941772,7,1
24.424599,40.941772,7,1
24.414562,40.939251,8,1
24.349779,40.905849,5,2
24.508604,40.958744,9,1
24.380835,40.928936,8,1
24.41256,40.937531,11,1
24.379255,40.926025,11,1
24.420891,40.93927,10,1
24.378773,40.925919,7,1
24.378752,40.925903,7,1
24.415184,40.939373,6,1
23.816856,38.05267,11,3
23.766943,37.876442,20,3
23.735275,37.985779,13,1
23.775572,37.812664,25,2
24.40901,40.939911,7,1
23.743343,37.991539,8,2
23.760818,37.978111,14,1
23.728075,37.964294,7,2
23.743103,38.004379,14,1
23.73748,37.984959,13,1
23.809244,38.07856,14,1
23.766689,37.896774,8,3
23.743879,37.978203,25,1
23.75803,37.994068,7,3
23.73398,38.012245,8,1
23.761648,37.879726,13,2
23.763556,37.866207,12,0
23.734171,38.00671,8,1
22.927191,40.64859,6,2
23.775257,37.834045,13,2
23.870581,35.478069,5,2
24.414778,40.936935,5,2
23.747234,37.880413,13,3
23.067225,40.309856,32,0
20.834377,39.56625,6,3
20.894089,39.465942,4,3
23.764029,37.979656,13,2
22.96147,39.38282,8,1
23.75518,37.874134,12,3
23.800503,38.087063,8,2
22.98155,40.612591,12,1
21.73625,38.244701,6,1
22.690403,40.617279,3,2
23.764952,38.002098,11,2
23.742313,37.978474,30,2
23.570522,40.002537,101,4
21.408157,37.685745,8,3
23.775806,37.815468,23,3
23.571323,40.003868,68,5
23.648262,37.941368,10,2
24.080093,37.78149,10,3
23.824619,38.074455,12,3
23.492718,37.772884,24,0
23.804474,38.032681,15,2
23.804474,38.032681,15,2
24.135019,41.154129,6,1
23.771475,37.88942,10,3
23.803064,38.073395,18,1
23.795158,38.086308,17,5
23.764601,38.005489,13,1
23.904673,37.746727,15,2
23.750772,37.878021,20,1
23.968599,41.179321,2,2
23.74151,37.977985,31,2
23.744238,37.978466,25,1
23.730915,37.990898,8,2
23.741556,37.97768,15,3
22.95339,40.636902,11,1
20.702381,38.994804,7,3
23.801479,38.069771,8,3
23.715836,37.916069,18,12
23.31402,37.974491,26,3
23.855656,38.06517,15,2
23.783398,38.034267,12,3
23.880541,38.096512,6,3
23.726713,37.985111,6,21
23.861361,38.113338,9,3
23.958735,37.823414,8,4
23.740704,37.985863,15,1
23.009859,40.416508,4,2
23.776209,37.812763,21,1
23.831774,38.064629,11,4
22.96434,40.642719,6,3
24.399611,40.93549,7,2
22.964104,40.643646,6,3
23.019533,40.586651,4,0
23.750971,37.98735,8,4
23.732313,38.007881,8,2
23.711956,37.944489,20,0
23.720686,37.9641,25,1
23.701408,37.955017,15,2
23.652832,37.94622,18,1
23.646267,37.93528,16,1
23.646269,37.933315,13,1
23.651411,37.941116,16,1
23.640915,37.92831,17,1
23.634537,37.930134,13,1
23.696365,37.947643,12,2
23.661116,37.944138,17,2
23.689699,37.928299,12,5
22.558161,38.502731,120,1
22.556597,38.501007,51,4
24.136524,37.728458,72,5
23.76782,37.988029,8,2
23.81196,38.093128,15,3
23.753815,37.966724,11,2
22.956125,39.363983,6,1
23.77643,37.814388,24,1
26.550774,39.102505,3,1
22.943495,40.640514,10,1
23.716309,37.913197,11,0
23.717508,37.910896,11,2
23.743212,37.927021,12,1
23.744276,37.97998,36,3
23.813984,38.041344,18,2
21.40753,38.623451,4,2
23.773418,37.84071,20,4
22.949238,40.633049,18,1
23.81179,38.066292,9,3
22.584566,38.480202,84,2
22.584566,38.480202,260,1
23.488169,38.485844,10,5
23.79327,38.056068,10,2
23.740978,37.977512,14,1
23.80147,38.07613,10,3
22.958815,40.604221,16,1
23.046001,38.900154,5,2
23.796621,37.819752,18,2
23.82493,38.067322,18,3
20.865948,39.634449,7,3
22.941439,40.639568,19,1
23.593548,39.994392,68,3
22.954729,40.638351,13,1
22.991381,40.60178,19,1
22.584566,38.480202,114,2
21.808393,38.311478,10,2
23.629599,37.929321,15,2
23.734961,38.026009,20,2
23.711617,37.987141,5,0
23.761873,37.891113,7,3
22.975645,40.604942,7,1
23.946999,37.715237,12,2
23.826942,38.073837,22,4
22.987926,40.594826,14,1
23.647182,37.943184,20,0
23.778715,37.856396,31,5
23.961441,38.084782,8,4
23.766371,38.002941,11,2
24.429592,37.141212,6,1
24.428215,37.140244,8,5
20.846537,39.693684,5,2
23.752823,37.969551,19,1
23.729397,37.882454,16,3
23.782877,37.858891,21,4
24.405167,40.93594,6,10
23.767031,37.844749,13,3
25.823298,40.850697,9,2
22.950453,40.632015,18,0
23.731209,37.996407,7,2
23.736332,37.966801,13,3
