Long,Lat,ROI
23.66501,37.981552,7.0
22.965866,40.630936,4.5
22.965965,40.630508,2.7
23.7351075,37.9619025,4.4
23.734634,37.963009,3.9
23.7847445,38.046633,4.6
22.4335345,39.642916,5.7
23.530878,37.9389,3.3
21.758728,38.267849,5.2
22.9256565,40.660748,3.6
24.0342405,35.512028,4.3
22.915554,40.680225,3.9
21.5964525,38.124811,5.6
23.73946,38.085342,5.6
19.896244,39.567856,4.9
22.962618,39.004482,6.3
23.655243,40.921303,0
25.016504,35.39502,0
22.968752,38.740927,0
24.721254,35.392342,0
23.400894,38.89962,0
22.077497,38.203789,0
23.4654505,39.152523,0
23.265995,37.405701,0
21.90309,36.927906,18.9
22.58128,37.522823,0
25.888403,35.026726,3.7
23.302959,40.5547215,0
24.445915,36.728062,0
23.78965,38.096298,5.5
23.800069,38.1003725,2.8
23.0748835,37.582228,0
24.559786,35.357414,4.5
23.46212,41.015713,0
24.554874,35.371748,3.0
22.606256,40.669205,0
21.8735255,36.873226,0
25.368956,41.010799,0
24.2540315,41.1409265,0
23.450285,37.748293,5.4
25.9989195,40.897951,0
21.839447,37.085445,0
25.167803,37.576992,0
22.724693,39.686913,0
21.835327,37.249462,0
20.6803035,38.359787,0
24.443489,38.0107975,6.3
21.818202,37.2886125,0
23.61445,38.013618,0
26.515423,39.1466635,7.2
28.160002,36.291561,5.6
23.1819,39.28339,0
23.8184055,38.20229,3.6
22.44579,37.0886975,0
23.16543,39.272648,1.2
23.435995,40.098366,12.3
23.766221,35.571323,0
23.6872435,38.4518315,3.0
22.9275515,39.3670275,12.5
22.4066015,39.63657,7.1
22.438141,39.631756,6.7
22.9677235,39.377903,9.4
23.608412,38.462124,5.8
24.400824,40.9376065,4.7
22.4265765,39.6380805,6.8
22.957821,39.358612,5.3
23.594954,38.455452,3.6
23.7294035,37.99358,6.5
22.415749,39.633877,6.9
22.952124,39.360168,7.0
24.4070845,40.940439,3.9
22.425748,39.642399,6.4
20.845661,39.668499,7.4
22.1019255,37.043388,5.2
22.953123,39.36982,9.8
20.780547,37.705515,0
24.537781,35.218807,0
23.246769,37.393517,0
25.16482,37.60754,0
24.505005,38.12323,0
26.968031,37.458496,0
22.780817,40.7146835,0
24.6791095,35.381506,4.7
22.201603,40.677906,0
22.834141,40.497169,5.3
24.765645,35.36986,0
22.758862,39.720688,0
20.359182,39.313725,2.9
23.932747,35.472204,2.0
22.948116,38.74585,0
25.147451,35.329784,2.2
22.7554105,38.7899075,0
23.163272,40.478048,0
22.750006,37.39996,0
23.7320765,38.0638005,3.6
23.68235,37.9723875,4.7
22.1005,38.246868,5.0
23.791045,38.018629,3.5
22.507168,40.282539,9.0
22.94022,37.932095,3.6
25.359169,37.06852,0
23.427307,38.86203,3.2
22.359667,38.479855,165.6
25.16585,35.281059,1.3
23.7877945,38.072693,3.9
23.558592,41.0043565,0
23.698145,37.956707,3.8
23.696437,37.9551315,4.6
22.0096675,40.7331255,0
26.146925,35.195354,3.6
23.742863,37.948284,3.7
24.644651,35.125023,0
23.67037,38.0136165,4.4
21.12055,40.525852,0
21.583982,37.158981,0
23.802275,38.071758,5.3
21.764385,37.851318,0
23.031311,36.701473,2.4
22.81769,37.5795975,3.6
